Index,Location,Year
605,"Departments of Virus and Cell Biology, Merck Research Laboratories, WP16-107,  Box 4, West Point, PA 19486, USA.",2003
606,"Center for Devices and Radiologic Health, Rockville, Maryland 20855, USA.",2003
607,"Center for Devices and Radiologic Health, Rockville, Maryland 20855, USA.",2003
608,"Division of Clinical Laboratory Devices, Office of Device Evaluation, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",2002
609,"Division of Clinical Laboratory Devices, Office of Device Evaluation, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",1999
610,"Department of Anesthesiology, Division of Cardiac Anesthesiology and Critical Care Medicine, Duke University Medical Center, Durham, North Carolina 27710, USA.",2003
611,"University of Konstanz, Konstanz, Germany.",2003
612,"Division of Cardiology, Department of Medicine, Penn State University College of Medicine, Hershey Medical Center, Hershey, Pennsylvania 17033, USA.",2003
613,"Department of Analytical Chemistry, Faculty of Pharmaceutical Sciences, Hoshi University, Ebara 2-4-41, Shinagawa-ku, Tokyo 142-8501, Japan.",2003
614,"Department of Analytical Chemistry, Faculty of Pharmaceutical Sciences, Hoshi University, 2-4-41 Ebara, Shinagawa-ku, Tokyo 142-8501, Japan.",2002
615,"Service de Chirurgie Orthopédique et de Traumatologie, Cliniques Universitaires St-Luc, 53, avenue Mounier, B-1200 Bruxelles, Belgium.",2003
616,"Department of Radiology, Massachusetts General Hospital, Boston 02114, USA.",1998
617,"University of California, San Diego, California, USA.",2003
618,"Occupational Health Services, Brigham and Women's Hospital, Boston, MA, USA.",2003
619,"Occupational Health Services, Brigham and Women's Hospital, Boston, MA, USA.",2003
620,"Cardiovascular Anaesthesia and Intensive Care Medicine, Toronto General Hospital, University Health Network, 200 Elizabeth Street, Toronto, Ontario M5G 2C4, Canada.",2003
621,"Wülfing Pharma GmbH, Quality Assurance, Gronau, Germany.",2003
622,"Department of Pathology, The Cleveland Clinic Foundation, Cleveland, Ohio 44195, USA.",2003
623,"Department of Pathology, The Cleveland Clinic Foundation Cleveland, OH 44195, USA.",2002
624,"The National Centre for Hospital Hygiene, Statens Serum Institut, Copenhagen, Denmark.",2002
625,"Department of Medical Physics, School of Health Sciences, University of Patras, Greece.",2003
626,"Boston Scientific Corporation, Natick, Massachusetts, USA.",2003
627,"Ear Nose & Throat Department, Southmead Hospital, 5 Graham Road, Downend, Bristol BS16 6AN, UK.",2003
628,"Department of Anesthesiology and Surgical Center, Osaka Prefectural Habikino Hospital, Habikino City, Osaka, Japan.",2003
629,"Medical Device Consultants Inc., North Attleboro, Massachusetts, USA.",2003
630,"Medical Device Consultants Inc., Raleigh, North Carolina, USA.",2000
631,"Cambridge Consultants Ltd, Cambridge, UK.",2003
632,"Cambridge Consultants Ltd, UK.",1998
633,"Cambridge Consultants Ltd., UK.",1996
634,"School of Pharmacy and Pharmaceutical Sciences, University of Manchester, Manchester, United Kingdom.",2003
635,"Business Administration Program, Wagner College, USA.",2003
636,"Biomaterials Research Group, Aston University, Aston Triangle, Birmingham B4 7ET, UK.",2003
637,"Speciality Materials Research Group, Aston University, Aston Triangle, Birmingham, UK.",1993
638,"Speciality Materials Research Group, Aston University, Aston Triangle, Birmingham, UK.",1992
639,"Datex-Ohmeda,  Box 7550, Madison, WI 53707-7550, USA.",2003
640,"The Dow Chemical Company, Piscataway, New Jersey, USA.",2003
641,"School of Medicine, Health Policy and Practice, University of East Anglia, Norwich Norfolk, NR4 7TJ, UK.",2003
642,"Brigham Young University, Department of Chemical Engineering, Provo, Utah 84602, USA.",2003
643,"National Technical University of Athens, School of Electrical and Computer Engineering, 15773 Zografou, Athens, Greece.",2003
644,"Department of Electrical and Computer Engineering, National Technical University of Athens (NTUA), Zografou, Greece.",2000
645,"Department of Surgery, Minneapolis Medical Research Foundation, Hennepin County Medical Center, Minneapolis 55404, USA.",2003
646,"Department of Hospital Epidemiology and Infection Control, Johns Hopkins Medical Institutions, Baltimore, Md, USA.",2003
647,"Center for Devices and Radiological Health, Food and Drug Administration, Rockville, Md, USA.",2003
648,"Department of Health Care Policy, Harvard Medical School, 180 Longwood Avenue, Boston, MA 02115, USA.",2003
649,"Department of Health Care Policy, Harvard Medical School, Boston, MA 02115, USA.",2002
650,"US Air Force Dental Investigation Service, Great Lakes, Ill 60088, USA.",2003
651,"School of Psychology, Georgia Institute of Technology, Atlanta, GA 30332-0170, USA.",2002
652,"Department of Orthopaedics, Faculty of Medicine, University of Pécs, Szigeti út 12, H-7643 Pécs, Hungary.",2002
653,"Department of Biomedical Engineering/ND20, Cleveland Clinic Foundation, 9500 Euclid Ave, Cleveland, OH 44195, USA.",2002
654,"International Center for Artificial Organs and Transplantation, Painesville, Ohio 44077, USA.",2001
655,"STERIS Corporation, Mentor, Ohio, USA.",1995
656,"STERIS Corporation, Mentor, Ohio 44060.",1993
657,"A and E Department, Tuen Mun Hospital, Hong Kong, China.",2002
658,"Department of Dermatology, University of Maryland School of Medicine 21201.",2002
659,"Council on Data Protection, Quintiles Transnational Corp., 4709 Creekstone Drive, Suite 200, Durham, NC 27703, USA.",2002
660,"Tyco/Healthcare-Kendall, DeLand, FL 32724, USA.",2002
661,"Division of Health Services Research and Policy, School of Public Health, University of Minnesota, USA.",2002
662,"FZI Forschungszentrum Informatik Karlsruhe, Germany.",2002
663,"Institut für Biomedizinische Technik, IBT, Universität Karlsruhe (TH), Deutschland.",2002
664,"Epidemiology Branch A3-05, National Institute of Environmental Health Sciences, PO Box 12233, Durham, NC 27709, USA.",2002
665,"University of Texas, Health Science Center at Houston, Houston, TX, USA.",2002
666,"Department of Orthopaedic Surgery, University of California, Irvine, Irvine, CA 92868, USA.",2002
667,"Department of Mechanical Engineering, University of Canterbury, Private Bag 4800, Christchurch, New Zealand.",2002
668,"Department of Molecular Biology and Microbiology, Tufts University, 136 Harrison Avenue, Boston, MA 02111, USA.",2002
669,"FZI Forschungszentrum Informatik Karlsruhe, Germany.",2002
670,"Institute of Hygiene and Environmental Health, University Hospital, RWTH Aachen, Pauwelsstrasse 30, 52074 Aachen, Germany.",2002
671,"IZKF Biomat., Universitätsklinikum RWTH Aachen, Pauwelsstr. 30, 52074, Germany.",2002
672,"Department of Microbiology, College of Veterinary Medicine and School of Agricultural Biotechnology, Seoul National University, Suwon, Korea.",2002
673,"Department of Pediatrics, University of Washington, Seattle, Washington, USA.",2002
674,"Department of Experimental Medicine, Faculty of Medicine and Surgery, Second University of Naples, Italy.",2002
675,"North and West In-Service Education Consortium, Altnagelvin Hospital, Londonderry, Northern Ireland.",2002
676,"Center for Biomaterials Research, University of Maastricht, P O Box 616, 6200 MD Maastricht, Netherlands.",2002
677,"School of Pharmaceutical Sciences, The University of Nottingham, University Park, Nottingham NG7 2RD, UK.",2002
678,"TQC Ltd, Hooton Street, Carlton Road, Nottingham NG3 2NJ, UK.",2002
679,"Health Care Group, Nypro Inc., Clinton, Massachusetts, USA.",2002
680,"Chemistry Section, Laboratory of Comparative Carcinogenesis, National Cancer Institute at Frederick, Frederick, Maryland 21702, USA.",2002
681,"Department of Plastic and Reconstructive Surgery, Leopold-Franzens University, Innsbruck, Austria.",2002
682,"Departamento de Farmácia, Faculdade de Ciências Farmacêuticas, Universidade de São Paulo, Av: Prof. Lineu Prestes, 580, CEP: 05508-900, São Paulo, SP, Brasil.",2002
683,"Department of Nephrology and Dialysis, Casa Sollievo della Sofferenza Hospital, IRCCS, San Giovanni Rotondo - Italy.",2002
684,"Texas Woman's University, Houston 77030, USA.",2002
685,"Centre for Environment, Fisheries and Aquaculture Science, Lowestoft, Suffolk, UK.",2002
686,"AdvaMed, Washington, District of Colombia, USA.",2002
687,"TWI Ltd, Great Abington, Cambridge, UK.",2002
688,"Medical Devices Agency, Hannibal House, Elephant & Castle, London, SE1 6TQ, UK.",2000
689,"Implants and materials Section, Medical Devices Agency, London, UK.",2000
690,"Institute of Environmental Medicine, Karolinska Institutet, Stockholm, Sweden.",2002
691,"Medical Devices Bureau, Therapeutic products Directorate, Health Canada, Ontario, Canada.",2002
692,"Medical Devices Bureau, Therapeutic Products Programme, Health Canada, Ottawa, Ontario, Canada.",2000
693,"Medical Devices Bureau, Therapeutic Products programme, Health Canada, Ottawa, Ont.",1999
694,"Health Canada, Medical Devices Bureau.",1994
695,"Association of British Health-Care Industries, St George's House, London, UK.",1998
696,"Brown University, Providence, RI 02904, USA.",2002
697,"Tiber Group, LLC, Chicago, USA.",2002
698,"Department of Legal Medicine, University Hospital, Giessen, Germany.",2002
699,"Ovation Research Group, Highland Park, IL.",2002
700,"Department of Biostatistics, University of Wisconsin-Madison, 600 Highland Avenue, K6/446A CSC, Madison, Wisconsin 53792-4675, USA.",2002
701,"Department of Electronic Engineering, University Autonomous of Barcelona, Bellaterra, Spain.",2002
702,"Northwestern University Dental School, Chicago, IL, USA.",2002
703,"Division of General Internal Medicine, University of Colorado Health Sciences Center, Denver, USA.",2002
704,"South-American Office for Anticancer Drug Development, Lutheran University of Brazil, and Postgraduate Course in Medicine, Federal University of Rio Grande do Sul, Porto Alegre, Brazil.",2002
705,"Evaluation Division II, Pharmaceuticals and Medical Devices Evaluation Center, National Institute of Health Sciences, The Ministry of Health Labour and Welfare, Toranomon 3-8-21 Minato-ku, Tokyo 105-8409, Japan.",2002
706,"The Orthotic Research and Locomotor Assessment Unit, The Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust, Oswestry, UK.",2002
707,"The Orthotic Research and Locomotor Assessment Unit, The Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust, Oswestry, Shropshire, UK.",2002
708,"Vanguard Medical Concepts, Inc, Lakeland, Fla., USA.",2002
709,"University of Duisburg, Institute for Interfacial Biotechnology, Germany.",2002
710,"Department of Materials Engineering, School of Engineering, The University of Tokyo, 7-3-1, Hongo, Bunkyo-ku, Tokyo, 113-8656, Japan.",2002
711,"CNEN/CDTN-Comissão Nacional de Energia Nuclear/Centro de Desenvolvimento de Tecnologia Nuclear, R. Prof. Mário Werneck, s/n, Cidade Universitária, Pampulha, Belo Horizonte, MG, CP 941, CEP 30123-970, Brazil.",2002
712,"Department of Medical Engineering, Yonsei University College of Medicine,  Box 8044, Seoul 120-752, Korea.",2002
713,"Department of Medical Engineering, Yonsei University College of Medicine, Seoul, Korea.",2000
714,"Department of Medical Engineering, College of Medicine, Yonsei University, 134, Shinchon-dong, Seodaemun-ku, Seoul 120-752, Korea.",2001
715,"Microbia, Inc., One Kendall Square, Building 1400W, Cambridge, MA 02139, USA.",2002
716,"Functional Materials in Medicine and Dentistry, University of Wuerzburg, Pleicherwall 2, D-97070 Wuerzburg, Germany.",2002
717,"Office of Science & Technology, Center for Devices & Radiological Health, Food & Drug Administration, Rockville, Maryland, USA.",2002
718,"Division of Physical Sciences, Food and Drug Administration, Rockville, Maryland 20857.",1991
719,"Digestive Surgery Department, Clinique du Hainaut, Valenciennes, France.",2002
720,"Royal London Hospital, UK.",2002
721,"Fleischman Unit for the Study of Disability, Loewenstein Hospital - Rehabilitation Centre, Ra'anana 43100,  Box 3, Israel.",2002
722,"Department of Anesthesiology, Mayo Medical School, Mayo Clinic, Rochester, Minnesota 55905, USA.",2002
723,"Section of Ophthalmology, Department of Surgery, Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire 03756-0001, USA.",2002
724,"Development Planning, Development and Scientific Affairs Department, Asahi Medical Co., Ltd., Tokyo, Japan.",2002
725,"City of Hamilton Social and Public Health Services Department, Ontario, Canada.",2002
726,"Center for Devices and Radiological Health, Food and Drug Administration, 12720 Twinbrook Parkway (HFZ-141), Rockville, MD 20857, USA.",2002
727,"Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20857, USA.",1999
728,"MicroTest Laboratories, 104 Gold Street, PO Box 848, Agawam, MA 01001, USA.",2002
729,"Department of Anesthesiology and Critical Care Medicine, Leopold-Franzens-University, Anichstrasse 35, 6020 Innsbruck, Austria.",2002
730,"Department of Pathology, Case Western Reserve University, Cleveland, Ohio 44106, USA.",2002
731,"US Food and Drug Administration, Center for Devices and Radiological Health, Office of Surveillance and Biometrics, Division of Postmarket Surveillance, Rockville, Md., USA.",2002
732,"St. Joseph's Wayne Hospital, Wayne, NJ, USA.",2002
733,"St Joseph's Wayne Hospital, Wayne, NJ, USA.",2002
734,"St Joseph's Wayne Hospital, Wayne, NJ, USA.",2002
735,"Hospital Saint-Louis, Paris, France.",2002
736,"University of Ottawa Heart Institute, University of Ottawa, 40 Ruskin Street, Ottawa, Ontario, Canada.",2002
737,"Scantox A/S, Hestehavevej, Ejby, DK-4623 Lille Skensved, Denmark.",2002
738,"Scantox A/S, Lille Skensved, Denmark.",2001
739,"Cook Biotech Incorporated, 3055 Kent Ave., West Lafayette, Indiana 47906, USA.",2002
740,"National Center for Early Defibrillation, University of Pittsburgh, Department of Emergency Medicine, Pennsylvania 15213, USA.",2002
741,"Department of Anesthesiology, Mayo Clinic, Rochester, Minnesota.",1993
742,"Department of Mechanical Engineering, Rose-Hulman Institute of Technology, Terre Haute, IN 47803, USA.",2002
743,"Biomedical Engineering Program, Rose-Hulman Institute of Technology, Terre Haute, IN 47803, USA.",2002
744,"University of Connecticut, Storrs, CT 06269, USA.",2002
745,"National Institute for Public Health and the Environment,  Box 1, 3720 BA, Bilthoven, The Netherlands.",2002
746,"Office of Compliance, Center for Devices and Radiological Health, US Food and Drug Administration, 2094 Gaither Road, Rockville, MA 20850, USA.",2002
747,"Department of Biomedical Engineering, University of Groningen, Groningen, The Netherlands.",2002
748,"Epidemiology Branch, Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, Rockville MD 20250-2220, USA.",2002
749,"Cassels Brock & Blackwell LLP, Toronto.",2002
750,"Cassels Brock & Blackwell LLP, Toronto.",2001
751,"BIOMEC, Inc., Cleveland, OH 44114, USA.",2002
752,"Department of Medicine, Carolinas Medical Center, Charlotte, NC, USA.",2002
753,"National Centre for Documentation and Evaluation of Alternative Methods to Animal Experiments (ZEBET), Federal Institute for Health Protection of Consumers and Veterinary Medicine (BgVV), Diedersdorfer Weg 1, D-12277 Berlin, Germany.",2002
754,"Department of Medicine, University of Wisconsin Hospital and Clinics, 600 Highland Avenue, H4/572, Madison, WI 53792, USA.",2002
755,"H4/572 University of Wisconsin Hospital and Clinics, Madison, WI 53792, USA.",2001
756,"Department of Obstetrics and Gynecology, University of Utah School of Medicine, Salt Lake City, Utah, USA.",2002
757,"Health Outcomes Research Europe, Platón 6, 1o, 5a, 08021 Barcelona, Spain.",2002
758,"Medical Devices Agency, London.",2002
759,"Medical Devices Agency, London.",1998
760,"Heart Failure and Cardiac Transplantation Program, UCSD School of Medicine and UCSD Medical Center, San Diego, CA.",2002
761,"Custom Ultrasonics, Inc., Ivyland, Pennsylvania 18974, USA.",2002
762,"Custom Ultrasonics, Inc., Ivyland, PA 18974, USA.",1996
763,"Southern California Surgery Center, Huntington Park, CA, USA.",2002
764,"Turkish Atomic Energy Autority, Nuclear Research and Training Center, Saray, Ankara.",2002
765,"Department of Periodontology and Endodontics, State University of New York at Buffalo, School of Dental Medicine, 3435 Main Street, 250 Squire Hall, Buffalo, New York 14214, USA.",2002
766,"Biomedical Engineering Laboratory, National Technical University of Athens.",2002
767,"National Technical University of Athens, Biomedical Engineering Laboratory, 9 Iroon Polytechniou Str., Computer Building, 15773 Athens, Greece.",2002
768,"Center for Biomaterials, University of Connecticut Health Center, 263 Farmington Avenue, Farmington, Connecticut 06032-1615, USA.",2002
769,"Center for Biomaterials, University of Connecticut Health Center, Farmington 06030-1615, USA.",2002
770,"Department of Anthropology, University of Arizona, Tucson 85721-0030, USA.",2002
771,"Division of Polymer Chemistry, Biomedical Technology Wing, Sree Chitra Tirunal Institute for Medical Sciences and Technology, Satelmond Palace Campus, Trivandrum 695 012, India.",2002
772,"Columbus Hospital, St Joseph Hospital, Chicago, IL, USA.",2002
773,"Universidade Estadual de Campinas, UNICAMP-FEM CEP, SP, Brazil.",2002
774,"Duke University Medical Center, Durham, , USA.",2002
775,"Department of Plastic Surgery, George Eliot Hospital, Nuneaton, UK.",2002
776,"Department of Plastic Surgery, George Eliot Hospital, Nuneaton, UK.",2001
777,"Isotron plc, Elgin Industrial Estate, Moray Road, Swindon SN2 8XS, UK.",2002
778,"University of Ljubljana, Faculty of Pharmacy, Askerceva 7, SI-1000 Ljubljana, Slovenia.",2002
779,"Cognitive Engineering Laboratory, Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, Ontario, Canada M5S 3G8.",2002
780,"Infection Control Program, Department of Internal Medicine, University of Geneva Hospitals, Geneva, Switzerland.",2002
781,"Crosby, Heady, Roach & May, Oakland, California, USA.",2002
782,"Morgan, Lewis & Bockius , Washington, , USA.",2002
783,"Centers for Disease Control and Prevention, Atlanta, Georgia 30333, USA.",2002
784,"Biofilm Laboratory, Centers for Disease Control and Prevention, Atlanta, GA 30333, USA.",2001
785,"Centers for Disease Control and Prevention Atlanta, Georgia 30333, USA.",2001
786,"Institute of Microbiology, Federal University of Rio de Janeiro, Brazil.",2002
787,"George Mason University, Arlington, Va., USA.",2002
788,"Lilly Research Laboratories, Eli Lilly and Company, Lilly Corporate Center, Indianapolis, Indiana 46268, USA.",2002
789,"Department of Bio-Medical Physics and Bio-Engineering, University of Aberdeen, Foresterhill, Scotland, UK.",2002
790,"Department of Bio-Medical Physics and Bio-Engineering, University of Aberdeen, Scotland, UK.",2002
791,"Department of Medicine, University of Alberta, Edmonton, Canada.",2002
792,"Intensive Care Unit, Edouard Herriot Hospital, Lyon, Cedex, France.",2002
793,"Department of Optometry and Neuroscience, UMIST, PO Box 88, Manchester M60 1QD, UK.",2002
794,"University of Phoenix, USA.",2002
795,"Regis University, Denver, Colo., USA.",2000
796,"Hill-Rom, Incorporated, Charleston, South Carolina, USA.",2002
797,"GE Medical Systems Clinical Services, Baltimore, Maryland, USA.",2002
798,"GE Medical Systems Clinical Services, Baltimore, Maryland, USA.",2002
799,"Department of Radiology, St. George's Hospital and Medical School, London, UK.",2002
800,"Biomedical Engineering Institute, Ecole Polytechnique, Station ""Centre-Ville"", PO Box 6079, Montreal, Quebec H3C 3A7, Canada.",2002
801,"CPE Network, 3rd Floor, Clerkenwell Building, Archway Campus, Highgate Hill, London N19 5LW, UK.",2002
802,"University College, London.",2000
803,"CPE Network, St Pancras Hospital, London.",1997
804,"Schools of Dentistry and Medicine, University of Alabama at Birmingham, USA.",2002
805,"School of Biomedical Sciences, Medical School, Queens Medical Centre, University of Nottingham, UK.",2002
806,"King & Spalding, Washington, , USA.",2002
807,"University Eye Hospital Tübingen, Germany.",2002
808,"Center for Advanced Surgery, Sarasota Memorial Hospital, Sarasota, Fla., USA.",2002
809,"Department of Pediatric Otolaryngology, Allegheny General Hospital, Pittsburgh, Pennsylvania 15212-4722, USA.",2002
810,"Hogan & Hartson, , Washington, , USA.",2002
811,"Institute for Frontier Medical Sciences, Kyoto University, Japan.",2002
812,"Case Western Reserve University. Division of Infectious DiseasesDepartment of Medicine, Department of Dermatology, University Hospitals of Cleveland, Cleveland, Ohio 44106.",2002
813,"Martin Memorial Cancer Center, Martin Memorial Health Systems, Stuart, Florida, USA.",2002
814,"Department of Medical Sciences, Human Anatomy, University of Eastern Piemonte, Novara, Italy.",2002
815,"Institute of Biomaterials & Biomedical Engineering, University of Toronto, Toronto, Ontario, Canada.",2002
816,"Infection Prevention and Control Unit, SMBD-Jewish General Hospital, McGill University, Montreal, Quebec.",2002
817,"Manager, Regulatory Affairs, Ortho-Clinical Diagnostics, Inc., A Johnson & Johnson Company.",2001
818,"Lehrstuhl für Metallische Werkstoffe, Universität des Saarlandes, Saarbrücken, Germany.",2001
819,"Mount Sinai Hospital, Toronto, Ontario, Canada.",2001
820,"Medical Devices Agency, Department of Health, London, England.",2001
821,"Medical Devices Agency, London SE1 6TQ.",2001
822,"Medical Devices Agency, UK Department of Health.",1998
823,"Supraregional Protein Reference Unit, Northern General Hospital, Sheffield, UK.",2001
824,"The Riner Group, Inc., 1034 South Brentwood Blvd., Suite 1640, St. Louis, MO 63117, USA.",2001
825,"Mersey Regional Plastic Surgery Centre, Whiston Hospital, Liverpool, UK.",2001
826,"Department of Internal Medicine and Rheumatology, Juntendo University, Tokyo, Japan.",2001
827,"Commissioner Of Food And Drugs, Food And Drug Administration, Rockville, Maryland 20857, USA.",2001
828,"Institute of Postgraduate Medical & Health Sciences, University of Ulster at Jordanstown, Newtownabbey, Co. Antrim, UK.",2001
829,"Royal Hospitals NHS Trust, Belfast.",1999
830,"School of Chemical Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332, USA.",2001
831,"Department of Electrical Engineering and Computer Science, Technology, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",2001
832,"Department of Urology, University of Michigan, Ann Arbor, Michigan, USA.",2001
833,"Food and Drug Safety Center, Hatano Research Institute, 729-5 Ochiai Hadano, Kanagawa 257-8523, Japan.",2001
834,"Podiatry Sevices BuPA Little Aston Hospital, Sutton Coldfield, England, UK.",2001
835,"Institute of Medical Microbiology, University Hospital RWTH Aachen, Pauwelsstr. 30, 52074, Aachen, Germany.",2001
836,"Department of Medicine, Division of Infectious Diseases, Boston University School of Medicine, Boston, USA.",2001
837,"Department of Medicine, Graduate School of Medicine, University of Tennessee Medical Center at Knoxville, 37920-6999, USA.",2001
838,"The Institute for Health Services Research and Policy Studies, Department of Obstetrics and Gynecology, the Robert H. Lurie Comprehensive Cancer Center, Northwestern University Medical School, Chicago, Illinois 60611, USA.",2001
839,"PurePulse Technologies, Inc, 4241 Ponderosa Ave, San Diego, CA 92123, USA.",2001
840,"Biomedical Engineering Laboratory, Department of Electrical and Computer Engineering, National Technical University of Athens, 15773 Athens, Greece.",2001
841,"Laboratoire de Pharmacologie, Pharmacocinétique et Pharmacie Clinique, Faculté des Sciences Pharmaceutiques et Biologiques, 3 rue du Professeur Laguesse, BP 83, 59006 Cedex, Lille, France.",2001
842,"Laboratoire de Pharmacologie, Pharmacocinétique et Pharmacie Clinique, Faculté des Sciences Pharmaceutiques, 3 rue du Professeur Laguesse BP83, F59006 Cedex, Lille, France.",2000
843,"Department of Biochemistry, Microbiology and Molecular Genetics, University of Rhode Island, Kingston, Rhode Island 02881, USA.",2001
844,"Department of Internal Medicine, University of Michigan, Ann Arbor, MI, USA.",2001
845,"Thomas Jefferson University Hospital, Philadelphia, PA 19104-4495, USA.",2001
846,"Département d'Anaesthésie, CHU d'Angers, France.",2001
847,"Department of Internal Medicine, Yale University School of Medicine, New Haven, CT 06504, USA.",2001
848,"Implant Materials, Caesar-Center of Advanced European Studies and Research, Friedensplatz 16, D-53111 Bonn, Germany.",2001
849,"Institute for Scientific Evaluation of Naturopathy, University of Cologne, Germany.",2000
850,"Institute of Medical Microbiology and Hygiene, University of Cologne.",1998
851,"B. Braun Melsungen AG, Melsungen, Germany.",1998
852,"Medical Devices Agency, Hannibal House, Elephant and Castle, London SE1 6TQ.",2001
853,"Infectious Disease Section, Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire 03756, USA.",2001
854,"Department of Pharmacology, University of Sassari, University of Sassari, Sassari, Italy.",2001
855,"Department of Biochemistry and Molecular Biology, University of Georgia, Athens 30602, USA.",2001
856,"School of Social Sciences, University of Wales Cardiff, UK.",2001
857,"Department of Medicine, Division of Clinical Immunology and Rheumatology, University of Alabama at Birmingham, 1813 6th Ave South, Birmingham, AL 35294, USA.",2001
858,"Institute for Implant Technology and Biomaterials , Warnemünde, Germany.",2001
859,"University of Iowa, USA.",2001
860,VDI/VDE-IT-Technologiezentrum Informationstechnik GmbH.,2001
861,"Smith & Nephew Europe, York, UK.",1997
862,"European Regulatory Affairs for Smith and Nephew Europe, York Science Park, Heslington, UK.",1995
863,"European Regulatory Affairs, Smith and Nephew, Group Research Centre, Yorkshire, UK.",1993
864,"De Montfort University, Leicester, UK.",2001
865,"Laboratory of Cardiac Energetics, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, MD 20892-1061, USA.",2001
866,"Food and Drug Administration, Center for Devices and Radiological Health, Rockville, Maryland, USA.",2001
867,"Center for Physical and Chemical Sciences, Baxter Healthcare Inc., William Graham Science Center, Round Lake, IL 60073, USA.",2001
868,"Medtronic, Monsey, New York, USA.",2001
869,"Department of Dermatology, University Clinic of the Rheinisch Westfälischen Technischen Hochschule Aachen, Germany.",2001
870,"Center for Biofilm Engineering and Department of Chemical Engineering, Montana State University, Bozeman, MT 59717-3980, USA.",2001
871,"HS System- and Prozesstechnik GmbH, Kelkheim, Germany.",2001
872,"Department of Biomedical Engineering and Medical Physics, Centre for Science and Technology in Medicine, University of Keele, Thornburrow Drive, Hartshill, Stoke On Trent ST4 7QB, UK.",2001
873,"Department of Ophthalmology, Doncaster Royal Infirmary, UK.",2001
874,"Center for Industrial and Medical Ultrasound, Applied Physics Laboratory, University of Washington, Seattle, Washington 98105-6698, USA.",2001
875,"Department of Clinical Microbiology, Royal College of Surgeons in Ireland, Education and Research Centre, Smurfit Building, Beaumont Hospital, Dublin 9, Ireland.",2001
876,"Department of Clinical Microbiology, Royal College of Surgeons in Ireland, Education and Research Centre, Smurfit Building, Beaumont Hospital, Dublin 9, Ireland.",2001
877,"Welsh School of Pharmacy, Cardiff University, Cardiff CF10 3XF, Wales, UK.",2001
878,"EDMA European Diagnostic Manufacturers Association, SFRL Syndicat de l'Industrie du Diagnostic In Vitro, 6 rue de la Trémoille, 75008, Paris, France.",2001
879,"Dept of Technical Hygiene, Benjamin Franklin University Hospital, Free University of Berlin, Germany.",2001
880,"Biomaterials Research Center, Korea Institute of Science and Technology, Cheongryang, Seoul, South Korea.",2001
881,"Bristol Dermatology Centre, Bristol Royal Infirmary, Bristol BS2 8HW, UK.",2001
882,"Cranial Technologies, 1331 North Seventh Street, Suite 170, Phoenix, AZ 85006, USA.",2001
883,"University of North Carolina at Chapel Hill, School of Medicine, CB# 7000, 125 MacNider Building, Chapel Hill, NC 27599-7000, USA.",2001
884,"Department of Surgery, Stanford University School of Medicine, Palo Alto, CA, USA.",2001
885,"Department of Periodontology, University of the Southern California School of Dentistry, USA.",2001
886,"Council on Scientific Affairs, American Medical Association, 515 North State St, Chicago, IL 60610, USA.",2001
887,"Faculty of Business, Royal Melbourne Institute of Technology, Victoria, Australia.",1995
888,"Division of Infectious Diseases, Duke University Medical Center, Durham, NC 27706, USA.",2001
889,"Department of Internal Medicine, The University of Nebraska Medical Center, Omaha 68198-5400, USA.",1998
890,"Department of Internal Medicine, University of Nebraska Medical Center, Omaha.",1994
891,"Department of Internal Medicine, Medical College of Virginia, Virginia Commonwealth University, Richmond 23298.",1992
892,"Otologics, LLC, Boulder, Colorado 80301, USA.",2001
893,"Research Laboratory on Biocompatibility of Implant Materials, Rizzoli Orthopedic Institute, Via di Barbiano, 1/10, 40136 Bologna, Italy.",2001
894,"Laboratorio di Biocompatibilità dei Materiali da Impianto, Istituti Ortopedici Rizzoli, Bologna.",1999
895,"Department of Radiology, University Medical Centre, Wilhelmina Children's Hospital, Utrecht, The Netherlands.",2001
896,"SFBC-WG on Blood Gases and Biosensors, Fédération Hospitalière de France, 33 avenue d'Italie, 75013, Paris, France.",2001
897,"Cypress Bioscience, Inc, San Diego, California 92121, USA.",2001
898,"Department of Emergency Medicine of the Western Pennsylvania Hospital, Pittsburgh, Pennsylvania, USA.",2001
899,"Department of Physics and Astronomy, Southwest Missouri State University, USA.",2001
900,"Department of Physics and Astronomy, Southwest Missouri State University, USA.",1997
901,"Terre Haute Center for Medical Education, Indiana University School of Medicine, Terre Haute, IN 47809, USA.",2001
902,"Department of Surgery, College of Physicians and Surgeons of Columbia University, 630 West 168th Street, BB 1734, New York, NY 10032, USA.",2001
